S.No,Station,Station Code,City,Division,Zone,no.
1,Ahera Halt,AHQ,Bagpat,Delhi,Delhi,1
2,Ailam,AILM,Shamli,Delhi,Delhi,1
3,Alawalpur I Pur,AIH,Bagpat,Delhi,Delhi,1
4,Amin,AMIN,Karnal,Delhi,Delhi,1
5,Anand Vihar,ANVR,Delhi,Delhi,Delhi,1
6,Anand Vihar Terminal,ANVT,Delhi,Delhi,Delhi,1
7,Asan,ASAN,Panipat,Delhi,Delhi,1
8,Asaoti,AST,Faridabad,Delhi,Delhi,1
9,Asaudah,ASE,Jhajjar,Delhi,Delhi,1
10,Asra Halt,ASAR,Hapur,Delhi,Delhi,1
11,Asthal Bohar Junction,ABO,Rohtak,Delhi,Delhi,1
12,Babarpur,BBDE,Panipat,Delhi,Delhi,1
13,Badli,BHD,Delhi,Delhi,Delhi,1
14,Bagpat Road,BPM,Bagpat,Delhi,Delhi,1
15,Bahadurgarh,BGZ,Bahadurgarh,Delhi,Delhi,1
16,Ballabgarh,BVH,Faridabad,Delhi,Delhi,1
17,Bamanheri,BMHR,Muzaffarnagar,Delhi,Delhi,1
18,Baoli,BAOL,Bagpat,Delhi,Delhi,1
19,Baraut,BTU,Bagpat,Delhi,Delhi,1
20,Bareta,BRZ,Mansa,Delhi,Delhi,1
21,Barka,BADK,Deoria,Delhi,Delhi,1
22,Barsola,BZO,Jind,Delhi,Delhi,1
23,Barwasni,BRNI,Sonipat,Delhi,Delhi,1
24,Basai Dhankot,BDXT,Gurgaon,Delhi,Delhi,1
25,Bazida Jatan,BZJT,Karnal,Delhi,Delhi,1
26,Behta Hazipur Halt,BHHZ,Ghaziabad,Delhi,Delhi,1
27,Bhaini Khurd,BZK,Karnal,Delhi,Delhi,1
28,Bhainswan,BASN,Sonipat,Delhi,Delhi,1
29,Bhambeva,BHMW,Jind,Delhi,Delhi,1
30,Bhankala Halt,BNQL,Saharanpur,Delhi,Delhi,1
31,Bhodwal Majri,BDMJ,Panipat,Delhi,Delhi,1
32,Bhudpur,BDHP,Bagpat,Delhi,Delhi,1
33,Bijwasan,BWSN,Delhi,Delhi,Delhi,1
34,Binjhol Halt,BNJL,Panipat,Delhi,Delhi,1
35,Bishanpur Haryana,BSPH,Rewari,Delhi,Delhi,1
36,Brar Square,BRSQ,Delhi,Delhi,Delhi,1
37,Budhakhera,BKDE,Jind,Delhi,Delhi,1
38,Budhlada,BLZ,Mansa,Delhi,Delhi,1
39,Butana,BUTN,Sonipat,Delhi,Delhi,1
40,Chanakyapuri,CNKP,Delhi,Delhi,Delhi,1
41,Chander Nagar,CNJ,Ghaziabad,Delhi,Delhi,1
42,Chipyana Buzurg,CYZ,Ghaziabad,Delhi,Delhi,1
43,Datewas,DTW,Mansa,Delhi,Delhi,1
44,Daurala,DRLA,Meerut,Delhi,Delhi,1
45,Dayabasti,DBSI,Delhi,Delhi,Delhi,1
46,Delhi Adarsh Nagar,ANDI,Delhi,Delhi,Delhi,1
47,Delhi Azadpur,DAZ,Delhi,Delhi,Delhi,1
48,Delhi Cantonment,DEC,Delhi,Delhi,Delhi,1
49,Delhi Indrapuri,DLPI,Delhi,Delhi,Delhi,1
50,Delhi Kishanganj,DKZ,Delhi,Delhi,Delhi,1
51,Delhi Safdarjung,DSJ,Delhi,Delhi,Delhi,1
52,Delhi Sarai Rohilla,DEE,Delhi,Delhi,Delhi,1
53,Delhi Shahdara Junction,DSA,Delhi,Delhi,Delhi,1
54,Deoband,DBD,Saharanpur,Delhi,Delhi,1
55,Dhamtan Sahib,DTN,Jind,Delhi,Delhi,1
56,Dharodi,DHY,Jind,Delhi,Delhi,1
57,Dhirpur,DPP,Kurukshetra,Delhi,Delhi,1
58,Dhoda Khedi,DHKR,Kurukshetra,Delhi,Delhi,1
59,Dhola Mazra,DHMZ,Kurukshetra,Delhi,Delhi,1
60,Dhurana,DHRN,Panipat,Delhi,Delhi,1
61,Dighal,DGHL,Jhajjar,Delhi,Delhi,1
62,Diwana,DWNA,Kurukshetra,Delhi,Delhi,1
63,Duhai Halt,DXH,Ghaziabad,Delhi,Delhi,1
64,Fakharpur Halt,FAP,Bahraich,Delhi,Delhi,1
65,Faridabad,FDB,Faridabad,Delhi,Delhi,1
66,Faridabad New Town,FDN,Faridabad,Delhi,Delhi,1
67,Farukhnagar,FN,Gurgaon,Delhi,Delhi,1
68,Ganaur,GNU,Sonipat,Delhi,Delhi,1
69,Garhi Harsaru Junction,GHH,Gurgaon,Delhi,Delhi,1
70,Geong,GXG,Kaithal,Delhi,Delhi,1
71,Gharaunda,GRA,Karnal,Delhi,Delhi,1
72,Ghaso,GSO,Jind,Delhi,Delhi,1
73,Ghaziabad Junction,GZB,Ghaziabad,Delhi,Delhi,1
74,Ghevra,GHE,Delhi,Delhi,Delhi,1
75,Gohana,GHNA,Sonipat,Delhi,Delhi,1
76,Gokalgarh,GKG,Rewari,Delhi,Delhi,1
77,Gotra Halt,GTRA,Bagpat,Delhi,Delhi,1
78,Gujran Balwa,GLBN,Muzaffarnagar,Delhi,Delhi,1
79,Guldhar,GUH,Ghaziabad,Delhi,Delhi,1
80,Gurgaon,GGN,Gurgaon,Delhi,Delhi,1
81,Gurthuri,GRZ,Jind,Delhi,Delhi,1
82,Harhar Fatehpur,HHP,Muzaffarnagar,Delhi,Delhi,1
83,Harsana Kalan,HNN,Sonipat,Delhi,Delhi,1
84,Hazrat Nizamuddin,NZM,Delhi,Delhi,Delhi,1
85,Himmatpura,HMQ,Fatehabad,Delhi,Delhi,1
86,Hind,HIND,Muzaffarnagar,Delhi,Delhi,1
87,Holambi Kalan,HUK,Delhi,Delhi,Delhi,1
88,Inchhapuri,IHP,Gurgaon,Delhi,Delhi,1
89,Isapur Kheri,ISRI,Sonipat,Delhi,Delhi,1
90,Ismaila Haryana,ISM,Rohtak,Delhi,Delhi,1
91,Israna,IRA,Panipat,Delhi,Delhi,1
92,Jai Jai Wanti,JJT,Jind,Delhi,Delhi,1
93,Jakhal Junction,JHL,Fatehabad,Delhi,Delhi,1
94,Jarauda Nara,JDW,Muzaffarnagar,Delhi,Delhi,1
95,Jasia,JSS,Rohtak,Delhi,Delhi,1
96,Jataula Samphka,JSKA,Gurgaon,Delhi,Delhi,1
97,Jhajjar,JHJ,Jhajjar,Delhi,Delhi,1
98,Jind City,JCY,Jind,Delhi,Delhi,1
99,Jind Junction,JIND,Jind,Delhi,Delhi,1
100,Julana,JNA,Jind,Delhi,Delhi,1
101,Kagangarh,KAGR,Tarn Taran,Delhi,Delhi,1
102,Kaithal,KLE,Kaithal,Delhi,Delhi,1
103,Kalayat,KIY,Kaithal,Delhi,Delhi,1
104,Kalwan,KLWN,Jind,Delhi,Delhi,1
105,Kandhla,KQL,Shamli,Delhi,Delhi,1
106,Karainthi,KHV,Rohtak,Delhi,Delhi,1
107,Karnal,KUN,Karnal,Delhi,Delhi,1
108,Karsindhu,KSDE,Panipat,Delhi,Delhi,1
109,Katar Singhwala,KZW,Bathinda,Delhi,Delhi,1
110,Khalilpur,KIP,Gurgaon,Delhi,Delhi,1
111,Khandrai,KHDR,Sonipat,Delhi,Delhi,1
112,Khandrawali,KZI,Muzaffarnagar,Delhi,Delhi,1
113,Kharawar,KRZ,Rohtak,Delhi,Delhi,1
114,Khatauli,KAT,Muzaffarnagar,Delhi,Delhi,1
115,Khekra,KEX,Ghaziabad,Delhi,Delhi,1
116,Khera Kalan,KHKN,Delhi,Delhi,Delhi,1
117,Khukrana,KURN,Panipat,Delhi,Delhi,1
118,Kila Zafargarh,KZH,Jind,Delhi,Delhi,1
119,Kinana,KIU,Jind,Delhi,Delhi,1
120,Kirtinagar,KRTN,Delhi,Delhi,Delhi,1
121,Kohand,KFU,Karnal,Delhi,Delhi,1
122,Kot Fatteh,KTF,Bathinda,Delhi,Delhi,1
123,Kotli Kalan,KTKL,Mansa,Delhi,Delhi,1
124,Kumbhawas Mundhalia Dabri,KWMD,Rewari,Delhi,Delhi,1
125,Kurukshetra Junction,KKDE,Kurukshetra,Delhi,Delhi,1
126,Lajpat Nagar,LPNR,Delhi,Delhi,Delhi,1
127,Lalat Khera,LTKR,Jind,Delhi,Delhi,1
128,Lath,LATH,Sonipat,Delhi,Delhi,1
129,Lodi Colony,LDCY,Delhi,Delhi,Delhi,1
130,Machhrauli,MHRI,Jhajjar,Delhi,Delhi,1
131,Madlauda,MLDE,Panipat,Delhi,Delhi,1
132,Maisar Khana,MASK,Bathinda,Delhi,Delhi,1
133,Makrauli,MKLI,Rohtak,Delhi,Delhi,1
134,Manani,MNZ,Saharanpur,Delhi,Delhi,1
135,Mandawali-Chander Vihar,MWC,Delhi,Delhi,Delhi,1
136,Mangolpuri,MGLP,Delhi,Delhi,Delhi,1
137,Mansa,MSZ,Mansa,Delhi,Delhi,1
138,Mansurpur,MSP,Muzaffarnagar,Delhi,Delhi,1
139,Maur,MAUR,Bathinda,Delhi,Delhi,1
140,Meerut Cantonment,MUT,Meerut,Delhi,Delhi,1
141,Meerut City Junction,MTC,Meerut,Delhi,Delhi,1
142,Modinagar,MDNR,Ghaziabad,Delhi,Delhi,1
143,Mohana,MOHR,Sonipat,Delhi,Delhi,1
144,Mohiuddinpur,MUZ,Meerut,Delhi,Delhi,1
145,Mohri,MOY,Kurukshetra,Delhi,Delhi,1
146,Mundka,MQC,Delhi,Delhi,Delhi,1
147,Mundlana,MDLA,Panipat,Delhi,Delhi,1
148,Muradnagar,MUD,Ghaziabad,Delhi,Delhi,1
149,Muzaffarnagar,MOZ,Muzaffarnagar,Delhi,Delhi,1
150,Nanauta,NNX,Saharanpur,Delhi,Delhi,1
151,Nangal,NGL,Saharanpur,Delhi,Delhi,1
152,Nangloi,NNO,Delhi,Delhi,Delhi,1
153,Nara Halt,NARA,Panipat,Delhi,Delhi,1
154,Naraina Vihar,NRVR,Delhi,Delhi,Delhi,1
155,Narela,NUR,Delhi,Delhi,Delhi,1
156,Narindarpura,NPX,Mansa,Delhi,Delhi,1
157,Narwana Junction,NRW,Jind,Delhi,Delhi,1
158,Naultha,NLH,Panipat,Delhi,Delhi,1
159,Naya Azadpur,NDAZ,Delhi,Delhi,Delhi,1
160,Naya Ghaziabad,GZN,Ghaziabad,Delhi,Delhi,1
161,New Delhi,NDLS,Delhi,Delhi,Delhi,1
162,Nilokheri,NLKR,Karnal,Delhi,Delhi,1
163,Noli,NOLI,Ghaziabad,Delhi,Delhi,1
164,Nursratabad Kharkhar,NTG,Ghaziabad,Delhi,Delhi,1
165,Okhla,OKA,Delhi,Delhi,Delhi,1
166,Old Delhi Junction,DLI,Delhi,Delhi,Delhi,1
167,Pabli Khas,PQY,Meerut,Delhi,Delhi,1
168,Pabnawa Jasmahinder Halt,PBJM,Kurukshetra,Delhi,Delhi,1
169,Palam,PM,Delhi,Delhi,Delhi,1
170,Palhawas,PLHW,Rewari,Delhi,Delhi,1
171,Palwal,PWL,Palwal,Delhi,Delhi,1
172,Pandu Pindara Junction,PPDE,Jind,Delhi,Delhi,1
173,Panipat Junction,PNP,Panipat,Delhi,Delhi,1
174,Partapur,PRTP,Meerut,Delhi,Delhi,1
175,Pataudi Road,PTRD,Gurgaon,Delhi,Delhi,1
176,Patel Nagar,PTNR,Delhi,Delhi,Delhi,1
177,Patli,PT,Gurgaon,Delhi,Delhi,1
178,Pehowa Road,PHWR,Kurukshetra,Delhi,Delhi,1
179,Pilu Khera,PKDE,Jind,Delhi,Delhi,1
180,Pindarsi,PDS,Kurukshetra,Delhi,Delhi,1
181,Piyala Block Hut,PYLA,Faridabad,Delhi,Delhi,1
182,Pragati Maidan,PGMD,Delhi,Delhi,Delhi,1
183,Qasimpur Kheri,KPKI,Bagpat,Delhi,Delhi,1
184,Quatabpur,QTP,Kaithal,Delhi,Delhi,1
185,Rabrah,RBHR,Sonipat,Delhi,Delhi,1
186,Rajlu Garhi,RUG,Sonipat,Delhi,Delhi,1
187,Rampur Maniharan,RPMN,Saharanpur,Delhi,Delhi,1
188,Rathdhana,RDDE,Sonipat,Delhi,Delhi,1
189,Rohana Kalan,RNA,Muzaffarnagar,Delhi,Delhi,1
190,Rohed Nagar Halt,ROHN,Rohtak,Delhi,Delhi,1
191,Rohtak Junction,ROK,Rohtak,Delhi,Delhi,1
192,Rukhi,RKX,Sonipat,Delhi,Delhi,1
193,Sadar Bazar,DSB,Delhi,Delhi,Delhi,1
194,Sadda Singhwala,SSZ,Mansa,Delhi,Delhi,1
195,Safidon,SFDE,Jind,Delhi,Delhi,1
196,Sahibabad Junction,SBB,Ghaziabad,Delhi,Delhi,1
197,Sajuma,SJM,Kaithal,Delhi,Delhi,1
198,Sakhoti Tanda,SKF,Meerut,Delhi,Delhi,1
199,Samalkha,SMK,Panipat,Delhi,Delhi,1
200,Samar Gopalpur,SMF,Rohtak,Delhi,Delhi,1
201,Sampla,SPZ,Rohtak,Delhi,Delhi,1
202,Sandal Kalan,SLKN,Sonipat,Delhi,Delhi,1
203,Sanhera Halt,SFA,Bagpat,Delhi,Delhi,1
204,Sardar Patel Road,SDPR,Delhi,Delhi,Delhi,1
205,Sarojini Nagar,SOJ,Delhi,Delhi,Delhi,1
206,Sewa Nagar,SWNR,Delhi,Delhi,Delhi,1
207,Shahabad Mohammadpur,SMDP,Delhi,Delhi,Delhi,1
208,Shahbad Markanda,SHDM,Kurukshetra,Delhi,Delhi,1
209,Shahdara A Panel,DSAP,Delhi,Delhi,Delhi,1
210,Shakurbasti,SSB,Delhi,Delhi,Delhi,1
211,Shamli,SMQL,Shamli,Delhi,Delhi,1
212,Shivaji Bridge,CSB,Delhi,Delhi,Delhi,1
213,Sila Kheri Halt,SXE,Jind,Delhi,Delhi,1
214,Silawar,SLWR,Shamli,Delhi,Delhi,1
215,Siwaha,SWDE,Jind,Delhi,Delhi,1
216,Sona Arjunpur,SNAP,Saharanpur,Delhi,Delhi,1
217,Sonipat,SNP,Sonipat,Delhi,Delhi,1
218,Subzi Mandi,SZM,Delhi,Delhi,Delhi,1
219,Sujra,SUJR,Bagpat,Delhi,Delhi,1
220,Sultanpur Kaliawas Halt,STKW,Gurgaon,Delhi,Delhi,1
221,Taj Nagar,TNJR,Gurgaon,Delhi,Delhi,1
222,Talheri Buzurg,THJ,Saharanpur,Delhi,Delhi,1
223,Tapri Junction,TPZ,Saharanpur,Delhi,Delhi,1
224,Taraori,TRR,Karnal,Delhi,Delhi,1
225,Thana Bhawan,THBN,Shamli,Delhi,Delhi,1
226,Thana Bhawan Tn,TBTN,Shamli,Delhi,Delhi,1
227,Thanesar City,TNDE,Kurukshetra,Delhi,Delhi,1
228,Tik,TIK,Kaithal,Delhi,Delhi,1
229,Tilak Bridge,TKJ,Delhi,Delhi,Delhi,1
230,Tohana,TUN,Fatehabad,Delhi,Delhi,1
231,Tuglakabad,TKD,Delhi,Delhi,Delhi,1
232,Uchana,UCA,Jind,Delhi,Delhi,1
233,Vivek Vihar,VVB,Delhi,Delhi,Delhi,1
234,Vivekanand Puri Halt,VVKP,Delhi,Delhi,Delhi,1
1,Abohar,ABS,Fazilka,Ambala,Delhi,2
2,Ahmadgarh,AHH,Sangrur,Ambala,Delhi,2
3,Alal,ALAL,Sangrur,Ambala,Delhi,2
4,Amb Andaura,AADR,Una,Ambala,Delhi,2
5,Ambala Cantt. Junction,UMB,Ambala,Ambala,Delhi,2
6,Ambala City,UBC,Ambala,Ambala,Delhi,2
7,Anandpur Sahib,ANSB,Rupnagar,Ambala,Delhi,2
8,Bahadur Singh Wala,BSS,Sangrur,Ambala,Delhi,2
9,Bahawal Basi,BFE,Firozpur,Ambala,Delhi,2
10,Bahman Diwana,BWX,Bathinda,Ambala,Delhi,2
11,Bakayanwala,BKWA,Firozpur,Ambala,Delhi,2
12,Barara,RAA,Ambala,Ambala,Delhi,2
13,Barnala,BNN,Barnala,Ambala,Delhi,2
14,Barog,BOF,Solan,Ambala,Delhi,2
15,Barwala,BXC,Hissar,Ambala,Delhi,2
16,Bassi Pathanam,BSPN,Fatehgarh Sahib,Ambala,Delhi,2
17,Bharatgarh,BARJ,Rupnagar,Ambala,Delhi,2
18,Bharur,BZ,Sangrur,Ambala,Delhi,2
19,Bhatinda Cantt.,BTIC,Bathinda,Ambala,Delhi,2
20,Bhatinda Junction,BTI,Bathinda,Ambala,Delhi,2
21,Bhuchchu,BCU,Bathinda,Ambala,Delhi,2
22,Bulluana,BHX,Firozpur,Ambala,Delhi,2
23,Chajli,CJL,Sangrur,Ambala,Delhi,2
24,Chandi Mandir,CNDM,Panchkula,Ambala,Delhi,2
25,Chandigarh Junction,CDG,Chandigarh,Ambala,Delhi,2
26,Chawapall,CHA,Ludhiana,Ambala,Delhi,2
27,Chhintanwala,CTW,Patiala,Ambala,Delhi,2
28,Churaru Takrala,CHTL,Una,Ambala,Delhi,2
29,Dappar,DHPR,Sahibzada Ajit Singh Nagar,Ambala,Delhi,2
30,Darazpur,DZP,Yamuna Nagar,Ambala,Delhi,2
31,Daulatpur Haryana,DULP,Hissar,Ambala,Delhi,2
32,Daun Kalan,DOC,Patiala,Ambala,Delhi,2
33,Dhablan,DBN,Patiala,Ambala,Delhi,2
34,Dhansu,DNX,Hissar,Ambala,Delhi,2
35,Dharampur Himachal,DMP,Solan,Ambala,Delhi,2
36,Dhulkot,DKT,Ambala,Ambala,Delhi,2
37,Dhuri Junction,DUI,Sangrur,Ambala,Delhi,2
38,DMW Halt Patiala,DMWP,Patiala,Ambala,Delhi,2
39,Doraha,DOA,Shahid Bhagat Singh Nagar,Ambala,Delhi,2
40,Dukheri,DOKY,Ambala,Ambala,Delhi,2
41,Faqar Sar,FSR,Sri Muktsar Sahib,Ambala,Delhi,2
42,Fatehgarh Sahib,FGSB,Fatehgarh Sahib,Ambala,Delhi,2
43,Fatuhi,FTH,Sri Ganganagar,Ambala,Delhi,2
44,Gajuwala,GJW,Fatehabad,Ambala,Delhi,2
45,Ghagghar,GHG,Mohali,Ambala,Delhi,2
46,Ghanauli,GANL,Rupnagar,Ambala,Delhi,2
47,Ghunas,GUNS,Sangrur,Ambala,Delhi,2
48,Giddarbaha,GDB,Sri Muktsar Sahib,Ambala,Delhi,2
49,Gill,GILL,Ludhiana,Ambala,Delhi,2
50,Govindgarh Khokhar,GGKR,Fatehgarh Sahib,Ambala,Delhi,2
51,Gumman,GMM,Solan,Ambala,Delhi,2
52,Gurnay,GRN,Sangrur,Ambala,Delhi,2
53,Hadiaya,HYA,Barnala,Ambala,Delhi,2
54,Himmatana,HMI,Sangrur,Ambala,Delhi,2
55,Hindumalkote,HMK,Sri Ganganagar,Ambala,Delhi,2
56,Jabli,JBL,Solan,Ambala,Delhi,2
57,Jagadhri Workshop,JUDW,Yamuna Nagar,Ambala,Delhi,2
58,Jamalpur Shaikhan,JPS,Fatehabad,Ambala,Delhi,2
59,Jassowal,JSL,Ludhiana,Ambala,Delhi,2
60,Jethuke,JHK,Bathinda,Ambala,Delhi,2
61,Jutogh,JTO,Shimla,Ambala,Delhi,2
62,Kakrala,KKRL,Patiala,Ambala,Delhi,2
63,Kalanour,KNZ,Rohtak,Ambala,Delhi,2
64,Kalka,KLK,Panchkula,Ambala,Delhi,2
65,Kandaghat,KDZ,Solan,Ambala,Delhi,2
66,Kanoh,KANO,Solan,Ambala,Delhi,2
67,Kathleeghat,KEJ,Shimla,Ambala,Delhi,2
68,Kauli,KLI,Patiala,Ambala,Delhi,2
69,Kaulseri,KLSX,Sangrur,Ambala,Delhi,2
70,Kesri,KES,Ambala,Ambala,Delhi,2
71,Khanna,KNN,Ludhiana,Ambala,Delhi,2
72,Kharar,KARR,Mohali,Ambala,Delhi,2
73,Kila Raipur,QRP,Ludhiana,Ambala,Delhi,2
74,Kilanwali Punjab,KLWL,Sri Muktsar Sahib,Ambala,Delhi,2
75,Kiratpur Sahib,KART,Rupnagar,Ambala,Delhi,2
76,Kotha Pakki,KTPK,Sri Ganganagar,Ambala,Delhi,2
77,Koti,KOTI,Solan,Ambala,Delhi,2
78,Kudni,KUDN,Fatehabad,Ambala,Delhi,2
79,Kumarhatti Dagshai,KMTI,Solan,Ambala,Delhi,2
80,Kup,KUP,Sangrur,Ambala,Delhi,2
81,Kurali,KRLI,Mohali,Ambala,Delhi,2
82,Lalru,LLU,Patiala,Ambala,Delhi,2
83,Lehra Gaga,LHA,Sangrur,Ambala,Delhi,2
84,Lehra Muhabbat,LHM,Bathinda,Ambala,Delhi,2
85,Malerkotla,MET,Sangrur,Ambala,Delhi,2
86,Malout,MOT,Sri Muktsar Sahib,Ambala,Delhi,2
87,Mandi Gobindgarh,GVG,Fatehgarh Sahib,Ambala,Delhi,2
88,Mianpur,MNPR,Rupnagar,Ambala,Delhi,2
89,Mohanpura,MOPR,Sri Ganganagar,Ambala,Delhi,2
90,Morinda Junction,MRND,Rupnagar,Ambala,Delhi,2
91,Mustafabad,MFB,Yamuna Nagar,Ambala,Delhi,2
92,Nabha,NBA,Patiala,Ambala,Delhi,2
93,Nangal Dam,NLDM,Rupnagar,Ambala,Delhi,2
94,Naya Nangal,NNGL,Rupnagar,Ambala,Delhi,2
95,New Morinda,NMDA,Rupnagar,Ambala,Delhi,2
96,Noganwan,NGWN,Fatehgarh Sahib,Ambala,Delhi,2
97,Orki,ORKI,Sri Ganganagar,Ambala,Delhi,2
98,Pakki,PKK,Sri Muktsar Sahib,Ambala,Delhi,2
99,Panj Kosi,PJK,Firozpur,Ambala,Delhi,2
100,Panoh,PH,Bilaspur,Ambala,Delhi,2
101,Patiala,PTA,Patiala,Ambala,Delhi,2
102,Patiala Cantt.,PTE,Patiala,Ambala,Delhi,2
103,Pilkhani,PKY,Saharanpur,Ambala,Delhi,2
104,Pirthala Llauda,PLT,Fatehabad,Ambala,Delhi,2
105,Raimehatpur,MTPR,Una,Ambala,Delhi,2
106,Raipur Hariyana Junction,RPHR,Hissar,Ambala,Delhi,2
107,Rajpura Junction,RPJ,Patiala,Ambala,Delhi,2
108,Rampura Phul,PUL,Bathinda,Ambala,Delhi,2
109,Rohira Galughra,RHW,Sangrur,Ambala,Delhi,2
110,Rupnagar,RPAR,Rupnagar,Ambala,Delhi,2
111,Sadhoo Garh,SDY,Fatehgarh Sahib,Ambala,Delhi,2
112,Saharanpur Junction,SRE,Saharanpur,Ambala,Delhi,2
113,Salogra,SLR,Solan,Ambala,Delhi,2
114,Sambhu,SMU,Patiala,Ambala,Delhi,2
115,Samrala,SMRL,Ludhiana,Ambala,Delhi,2
116,Sangrur,SAG,Sangrur,Ambala,Delhi,2
117,Sarai Banjara,SBJ,Fatehgarh Sahib,Ambala,Delhi,2
118,Sarsawa,SSW,Saharanpur,Ambala,Delhi,2
119,Sas Nagar Mohali,SASN,Mohali,Ambala,Delhi,2
120,Sekha,SEQ,Barnala,Ambala,Delhi,2
121,Shimla,SML,Shimla,Ambala,Delhi,2
122,Shoghi,SGS,Shimla,Ambala,Delhi,2
123,Sirhind Junction,SIR,Fatehgarh Sahib,Ambala,Delhi,2
124,Solan,SOL,Solan,Ambala,Delhi,2
125,Solan Brewery,SBY,Solan,Ambala,Delhi,2
126,Sonwara,SWO,Solan,Ambala,Delhi,2
127,Summer Hill,SHZ,Shimla,Ambala,Delhi,2
128,Sunam,SFM,Sangrur,Ambala,Delhi,2
129,Surajpur,SUPR,Panchkula,Ambala,Delhi,2
130,Taksal,TSL,Solan,Ambala,Delhi,2
131,Tandwal,TDW,Ambala,Ambala,Delhi,2
132,Tapa,TAPA,Barnala,Ambala,Delhi,2
133,Taradevi,TVI,Shimla,Ambala,Delhi,2
134,Uklana,UKN,Hissar,Ambala,Delhi,2
135,Una Himachal,UHL,Una,Ambala,Delhi,2
136,Yamunanagar-Jagadhri,YJUD,Yamuna Nagar,Ambala,Delhi,2
137,Yamunanagar-Jagadhri,JUD,Yamuna Nagar,Ambala,Delhi,2
1,Ahju,AHJU,Mandi,Firozpur,Delhi,3
2,Ajitgill Matta,AJTM,Faridkot,Firozpur,Delhi,3
3,Ajitwal,AJL,Moga,Firozpur,Delhi,3
4,Alawalpur,AWL,Jalandhar,Firozpur,Delhi,3
5,Amritsar Junction,ASR,Amritsar,Firozpur,Delhi,3
6,Anantnag,ANT,Anantnag,Firozpur,Delhi,3
7,Attari Shyam Singh,ATT,Amritsar,Firozpur,Delhi,3
8,Awantipura,ATPA,Pulwama,Firozpur,Delhi,3
9,Baba Bakala Raiya,BBKR,Amritsar,Firozpur,Delhi,3
10,Baddowal,BWZ,Ludhiana,Firozpur,Delhi,3
11,Badgam,BDGM,Badgam,Firozpur,Delhi,3
12,Badhai Balamgrh,BDBG,Sri Muktsar Sahib,Firozpur,Delhi,3
13,Bahminiwala,BVW,Firozpur,Firozpur,Delhi,3
14,Bahram,BHM,Shahid Bhagat Singh Nagar,Firozpur,Delhi,3
15,Baijnath Mandir,BJMR,Kangra,Firozpur,Delhi,3
16,Baijnath Paprola,BJPL,Kangra,Firozpur,Delhi,3
17,Bajalta,BLA,Jammu,Firozpur,Delhi,3
18,Balle da pir larath,BLDL,Kangra,Firozpur,Delhi,3
19,Banga,BXB,Shahid Bhagat Singh Nagar,Firozpur,Delhi,3
20,Banihal,BAHL,Ramban,Firozpur,Delhi,3
21,Baramula,BRML,Baramulla,Firozpur,Delhi,3
22,Bari Brahman,BBMN,Samba,Firozpur,Delhi,3
23,Bariwala,BRW,Sri Muktsar Sahib,Firozpur,Delhi,3
24,Baryal Himachal,BRHL,Kangra,Firozpur,Delhi,3
25,Basantar Block Hut,BHBT,Samba,Firozpur,Delhi,3
26,Batala Junction,BAT,Batala,Firozpur,Delhi,3
27,Batala Sugar Mills,BATM,Batala,Firozpur,Delhi,3
28,Beas Junction,BEAS,Amritsar,Firozpur,Delhi,3
29,Bhagsar,BSGR,Ludhiana,Firozpur,Delhi,3
30,Bhagtanwala,BGTN,Amritsar,Firozpur,Delhi,3
31,Bhalojala Halt,BLJA,Amritsar,Firozpur,Delhi,3
32,Bhangala,BNGL,Hoshiarpur,Firozpur,Delhi,3
33,Bhanohad Punjab,BQH,Ludhiana,Firozpur,Delhi,3
34,Bharmar,BRMR,Kangra,Firozpur,Delhi,3
35,Bharoli Junction,BHRL,Pathankot,Firozpur,Delhi,3
36,Bhatian,BTTN,Ludhiana,Firozpur,Delhi,3
37,Bhogpur Sirwal,BPRS,Jalandhar,Firozpur,Delhi,3
38,Bijbiara,BJBA,Anantnag,Firozpur,Delhi,3
39,Bilga,BZG,Jalandhar,Firozpur,Delhi,3
40,Bolinna Doaba,BLND,Jalandhar,Firozpur,Delhi,3
41,Boparai,BXO,Ludhiana,Firozpur,Delhi,3
42,Budhi,BDHY,Kathua,Firozpur,Delhi,3
43,Butari,BTR,Amritsar,Firozpur,Delhi,3
44,Butewala,BWF,Firozpur,Firozpur,Delhi,3
45,Chak Banwala,CKLA,Firozpur,Firozpur,Delhi,3
46,Chak Pakhewala,CKA,Firozpur,Firozpur,Delhi,3
47,Chak Rakhwal,CRWL,Jammu,Firozpur,Delhi,3
48,Chakdayala,CKDL,Kathua,Firozpur,Delhi,3
49,Chamunda Marg,CMMG,Kangra,Firozpur,Delhi,3
50,Chand Bhan,CBX,Faridkot,Firozpur,Delhi,3
51,Charawan,CWN,Sri Muktsar Sahib,Firozpur,Delhi,3
52,Chauki Man,CKM,Ludhiana,Firozpur,Delhi,3
53,Chauntra Bhater,CTZ,Mandi,Firozpur,Delhi,3
54,Chhan Arorian,CHNR,Kathua,Firozpur,Delhi,3
55,Chheharta,CIA,Amritsar,Firozpur,Delhi,3
56,Chhina,CHN,Amritsar,Firozpur,Delhi,3
57,Chiheru,CEU,Kapurthala,Firozpur,Delhi,3
58,Cholang,CGH,Hoshiarpur,Firozpur,Delhi,3
59,Chuhriwala Dhanna,CWDA,Firozpur,Firozpur,Delhi,3
